| AvaDisPro - Arquivo de Exemplo 4
|
| Números aleatórios gerados pelo MS-Excel
|

0,11764755	0,89087647	0,50917791	0,84757966	0,29117000	0,79194240	0,87768405	0,94638547
0,82559854	0,66305889	0,11270793	0,11591878	0,64971160	0,02898003	0,82416880	0,37312085
0,41459975	0,63121710	0,39442506	0,85985352	0,83273533	0,50496966	0,51838890	0,30875152
0,99543626	0,46005036	0,36594924	0,19878897	0,51775733	0,10606077	0,83415935	0,49030687
0,39080942	0,51511850	0,19011978	0,37771985	0,79794775	0,85613672	0,33007699	0,89743229
0,35064349	0,89381277	0,34656052	0,78216942	0,89716353	0,25437041	0,38308208	0,46046883
0,88103430	0,47573782	0,43247979	0,59530507	0,70238812	0,36507212	0,58457794	0,35123718
0,84917684	0,71171482	0,96261943	0,09675252	0,41781335	0,55627426	0,38085470	0,58529074
0,97710813	0,35163675	0,63580296	0,43219142	0,76323328	0,92540670	0,63050432	0,39427615
0,39024822	0,39739573	0,03476334	0,62205578	0,42117416	0,56273913	0,87227830	0,85650638
0,83913733	0,96044023	0,69482310	0,06900405	0,90012448	0,33388511	0,29700158	0,06388450
0,37901648	0,62096178	0,67691968	0,23945873	0,93549215	0,67972190	0,76012357	0,38489273
0,53212836	0,24280525	0,80168169	0,52717881	0,63439704	0,62463738	0,77499495	0,43672474
0,24396916	0,28497214	0,92268715	0,92187244	0,92060081	0,43183919	0,30402406	0,03157347
0,23240420	0,29439915	0,50540366	0,78070726	0,53736096	0,63328354	0,68902163	0,09275297
0,65298703	0,13824196	0,88559370	0,62704370	0,40754282	0,68935147	0,33209212	0,68804837
0,19696712	0,53437707	0,32852390	0,64457325	0,56519013	0,94356169	0,93069921	0,60826333
0,62541515	0,96545547	0,94946900	0,94641140	0,91765692	0,51992558	0,40044183	0,95054782
0,41346759	0,54150389	0,32101730	0,92223655	0,49651276	0,46313783	0,68794976	0,56587769
0,87657213	0,69612866	0,89088160	0,55955722	0,62283054	0,03009031	0,72825796	0,43273672
0,02618643	0,11861571	0,13621275	0,95673971	0,35204424	0,63784166	0,45423592	0,26226168
0,38826895	0,88325341	0,64303476	0,45572592	0,89556563	0,56140345	0,75457594	0,90165049
0,40068421	0,32077949	0,58674311	0,61536794	0,73982401	0,02291497	0,25920991	0,91187486
0,33096908	0,73437023	0,46133846	0,01629637	0,25796721	0,70733397	0,93820147	0,28797680
0,65864111	0,43146969	0,67513077	0,67065870	0,75043498	0,23330273	0,47742352	0,98776296
0,72568430	0,03133369	0,93952683	0,30433381	0,07369049	0,92560074	0,53617453	0,98139648
0,15687412	0,50611114	0,72882319	0,98391309	0,22179354	0,44567191	0,15514682	0,90823832
0,87210549	0,01989857	0,63517668	0,28154919	0,30593431	0,79218382	0,24863015	0,00805112
0,15938205	0,28142084	0,04540750	0,15840994	0,95530263	0,23846483	0,17446429	0,62510728
0,50244187	0,38997046	0,11120482	0,35387685	0,63582506	0,64921846	0,18577802	0,73729447
